time,tg,rr
2020-01-01,-3.598,5.05
2020-01-02,-0.891,0.0
2020-01-03,0.125,0.73
2020-01-04,-6.72,1.62
2020-01-05,-7.351,2.19
2020-01-06,-0.405,17.41
2020-01-07,0.335,1.41
2020-01-08,-1.13,18.07
2020-01-09,-3.438,4.21
2020-01-10,-8.116,0.0
2020-01-11,-13.348,0.0
2020-01-12,-2.581,18.49
2020-01-13,-4.762,2.83
2020-01-14,-4.266,0.5
2020-01-15,-3.62,3.97
2020-01-16,-3.013,2.72
2020-01-17,-2.294,5.72
2020-01-18,-2.349,0.72
2020-01-19,-3.33,0.0
2020-01-20,-4.289,0.0
2020-01-21,0.593,10.52
2020-01-22,-3.337,0.29
2020-01-23,-5.625,1.12
2020-01-24,-0.963,2.17
2020-01-25,-4.263,0.12
2020-01-26,-1.893,0.02
2020-01-27,-1.852,0.6
2020-01-28,-4.029,1.92
2020-01-29,-8.105,6.73
2020-01-30,-6.602,1.71
2020-01-31,-9.296,0.2
2020-02-01,-5.254,2.14
2020-02-02,-3.052,2.66
2020-02-03,-7.066,0.0
2020-02-04,-11.094,0.54
2020-02-05,-8.934,0.0
2020-02-06,-2.68,0.0
2020-02-07,-0.638,0.0
2020-02-08,-4.569,0.0
2020-02-09,-4.87,0.0
2020-02-10,-2.433,3.03
2020-02-11,-4.303,3.88
2020-02-12,-5.118,6.22
2020-02-13,-6.347,1.5
2020-02-14,-10.289,0.51
2020-02-15,-8.036,1.93
2020-02-16,-3.968,7.92
2020-02-17,-3.305,8.45
2020-02-18,-2.542,4.5
2020-02-19,-3.591,2.31
2020-02-20,-6.19,0.02
2020-02-21,-6.04,3.63
2020-02-22,-3.077,7.28
2020-02-23,-4.611,12.28
2020-02-24,-6.384,2.04
2020-02-25,-9.791,0.44
2020-02-26,-11.633,0.0
2020-02-27,-18.059,0.0
2020-02-28,-15.503,0.0
2020-02-29,-11.165,2.47
2020-03-01,-10.958,3.84
2020-03-02,-7.58,5.46
2020-03-03,-4.913,1.21
2020-03-04,-5.485,1.25
2020-03-05,-6.95,2.49
2020-03-06,-7.745,0.01
2020-03-07,-10.955,0.0
2020-03-08,-11.294,8.99
2020-03-09,-1.991,6.47
2020-03-10,-2.711,0.02
2020-03-11,-4.354,5.28
2020-03-12,-4.079,5.47
2020-03-13,-5.501,0.25
2020-03-14,-10.944,0.04
2020-03-15,-12.009,0.0
2020-03-16,-3.246,8.48
2020-03-17,-4.598,0.33
2020-03-18,-3.131,10.51
2020-03-19,-4.926,1.29
2020-03-20,-5.821,0.0
2020-03-21,-10.656,0.0
2020-03-22,-11.505,0.0
2020-03-23,-6.252,0.0
2020-03-24,-2.689,0.21
2020-03-25,1.252,0.16
2020-03-26,0.573,9.9
2020-03-27,-2.027,0.0
2020-03-28,-2.967,1.38
2020-03-29,-8.443,0.03
2020-03-30,-7.202,0.0
2020-03-31,-6.847,0.0
2020-04-01,-2.922,1.08
2020-04-02,-2.967,1.69
2020-04-03,-6.938,5.77
2020-04-04,-8.739,1.74
2020-04-05,-8.064,4.18
2020-04-06,-4.256,1.69
2020-04-07,0.049,0.48
2020-04-08,-1.095,1.17
2020-04-09,-1.861,1.0
2020-04-10,-5.831,0.0
2020-04-11,-5.884,0.0
2020-04-12,-1.312,12.99
2020-04-13,-5.254,1.37
2020-04-14,-6.826,0.03
2020-04-15,-1.052,0.0
2020-04-16,-1.506,7.25
2020-04-17,-5.353,0.0
2020-04-18,-6.459,0.0
2020-04-19,-5.598,0.0
2020-04-20,-2.109,0.0
2020-04-21,0.7,0.0
2020-04-22,1.28,0.0
2020-04-23,1.31,0.0
2020-04-24,1.515,0.0
2020-04-25,-1.49,0.59
2020-04-26,-1.527,0.0
2020-04-27,-0.682,0.39
2020-04-28,-2.352,0.31
2020-04-29,-3.375,0.0
2020-04-30,-3.444,0.0
2020-05-01,-3.497,1.25
2020-05-02,-2.896,2.9
2020-05-03,-1.557,0.0
2020-05-04,-2.762,1.08
2020-05-05,-5.441,0.0
2020-05-06,-4.506,0.0
2020-05-07,-1.182,0.0
2020-05-08,-1.306,0.05
2020-05-09,-1.515,2.13
2020-05-10,-2.365,0.31
2020-05-11,-5.899,0.38
2020-05-12,-5.833,1.67
2020-05-13,-6.459,0.0
2020-05-14,-6.545,1.11
2020-05-15,-4.966,0.63
2020-05-16,-4.718,0.87
2020-05-17,-4.63,0.38
2020-05-18,-2.814,0.0
2020-05-19,-2.465,0.0
2020-05-20,-3.606,0.0
2020-05-21,-1.848,0.0
2020-05-22,2.128,0.27
2020-05-23,2.301,10.98
2020-05-24,2.612,1.77
2020-05-25,2.091,4.06
2020-05-26,2.748,0.0
2020-05-27,2.043,0.99
2020-05-28,0.684,0.48
2020-05-29,0.718,0.0
2020-05-30,2.567,0.0
2020-05-31,5.152,0.0
2020-06-01,6.376,0.0
2020-06-02,5.884,0.0
2020-06-03,5.934,0.49
2020-06-04,6.164,0.0
2020-06-05,4.136,0.52
2020-06-06,3.739,23.8
2020-06-07,3.743,0.48
2020-06-08,3.566,0.23
2020-06-09,3.289,0.0
2020-06-10,4.82,0.0
2020-06-11,6.282,0.0
2020-06-12,8.346,0.0
2020-06-13,9.478,0.0
2020-06-14,9.475,0.0
2020-06-15,9.187,0.0
2020-06-16,10.08,0.0
2020-06-17,11.346,0.0
2020-06-18,10.915,0.0
2020-06-19,11.505,0.0
2020-06-20,12.779,0.0
2020-06-21,11.992,7.55
2020-06-22,8.765,12.78
2020-06-23,7.493,0.0
